name,src_file,src_line,self_total_ms,calls,self_mean_us,self_max_ms
FTM_UPDATE_WORLD_VIEW,E:\BoxxyViewer\indra\newview\llviewerwindow.cpp,4197,0.212784,172,1.2371162790697674,0.002425
"LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::pushIfOpen",E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h,325,0.211672,974,0.2173223819301848,0.008922
ggv - texgen 2,E:\BoxxyViewer\indra\newview\llface.cpp,1723,0.209372,1563,0.13395521433141394,0.002592
LLWorkerThread::WorkRequest::processRequest,E:\BoxxyViewer\indra\llcommon\llworkerthread.cpp,182,0.206322,227,0.9089074889867842,0.021091
LLVOAvatar::getMaxGPURenderTime,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,12725,0.204591,172,1.1894825581395347,0.002236
LLTrace::AccumulatorBuffer<class LLTrace::SampleAccumulator>::AccumulatorBuffer,E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h,68,0.200425,344,0.5826308139534885,0.002437
LLViewerTextureList::updateImages,E:\BoxxyViewer\indra\newview\llviewertexturelist.cpp,810,0.199477,173,1.1530462427745665,0.002083
df resumeMainloopTimeout,E:\BoxxyViewer\indra\newview\llappviewer.cpp,1477,0.194122,173,1.122092485549133,0.003009
lllog,E:\BoxxyViewer\indra\newview\llviewerobjectlist.cpp,242,0.188619,1677,0.11247406082289804,0.001654
LLLayoutStack::updateLayout,E:\BoxxyViewer\indra\llui\lllayoutstack.cpp,412,0.188434,11180,0.016854561717352414,0.007343
LLTextureFetch::update,E:\BoxxyViewer\indra\newview\lltexturefetch.cpp,2996,0.187903,172,1.0924593023255813,0.032848
`anonymous-namespace'::RecordToStderr::recordMessage,E:\BoxxyViewer\indra\llcommon\llerror.cpp,239,0.186205,44,4.231931818181818,0.006883
getGeometryVolume - indices tail,E:\BoxxyViewer\indra\newview\llface.cpp,1453,0.185492,4668,0.0397369323050557,0.000785
LLProfile::generate,E:\BoxxyViewer\indra\llmath\llvolume.cpp,742,0.183726,70,2.624657142857143,0.018843
render_ui_3d,E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp,1639,0.183308,172,1.0657441860465118,0.001957
LLSD::operator [],E:\BoxxyViewer\indra\llcommon\llsd.cpp,1144,0.182953,1026,0.1783167641325536,0.006081
render_ui,E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp,1475,0.182688,172,1.0621395348837208,0.011425
LLTrace::AccumulatorBuffer<class LLTrace::TimeBlockAccumulator>::AccumulatorBuffer,E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h,68,0.180919,344,0.5259273255813954,0.001616
`anonymous-namespace'::ImplMap::makeMap,E:\BoxxyViewer\indra\llcommon\llsd.cpp,487,0.179441,6978,0.0257152479220407,0.007477
LLTrace::Recording::update,E:\BoxxyViewer\indra\llcommon\lltracerecording.cpp,97,0.178684,517,0.3456170212765957,0.00218
renderDeferredLighting - sun shadow,E:\BoxxyViewer\indra\newview\pipeline.cpp,8668,0.178599,173,1.032364161849711,0.003801
LLVOVolume::regenFaces,E:\BoxxyViewer\indra\newview\llvovolume.cpp,1865,0.177081,142,1.2470492957746477,0.002338
LLDrawPoolBump::beginBump,E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp,496,0.17481,1850,0.0944918918918919,0.001162
media update interest,E:\BoxxyViewer\indra\newview\llviewermedia.cpp,669,0.17323,172,1.0071511627906977,0.001725
LLTrace::AccumulatorBufferGroup::reset,E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.cpp,124,0.170846,2236,0.07640697674418605,0.035748
LLVertexBuffer::destroyGLIndices,E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp,1195,0.166911,2796,0.059696351931330466,0.002912
LLVolumeFace::createTangents,E:\BoxxyViewer\indra\llmath\llvolume.cpp,6909,0.165891,8942,0.018551889957503915,0.000636
LLDrawPoolAvatar::endDeferredImpostor,E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp,562,0.165757,346,0.4790664739884393,0.002523
LLViewerObject::createObject,E:\BoxxyViewer\indra\newview\llviewerobject.cpp,153,0.165648,41,4.0401951219512195,0.005721
LLSD::operator [],E:\BoxxyViewer\indra\llcommon\llsd.cpp,1192,0.164345,823,0.19969015795868775,0.001317
LLRenderPass::pushBumpBatch,E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp,1009,0.162876,560,0.29085,0.001342
getGeometryVolume - texgen,E:\BoxxyViewer\indra\newview\llface.cpp,1712,0.162178,3497,0.04637632256219616,0.007236
LLMutexTrylock::LLMutexTrylock,E:\BoxxyViewer\indra\llcommon\llmutex.cpp,367,0.162082,4472,0.03624373881932021,0.000862
LLDrawable::setNumFacesFast,E:\BoxxyViewer\indra\newview\lldrawable.cpp,440,0.161165,168,0.9593154761904762,0.002516
"LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::tryPop",E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h,477,0.160497,1922,0.08350520291363163,0.003543
HUD Update,E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp,754,0.160033,173,0.9250462427745665,0.003
LLViewerMediaTexture::updateClass,E:\BoxxyViewer\indra\newview\llviewertexture.cpp,3332,0.158733,173,0.9175317919075145,0.00185
LLViewerFetchedTexture::processTextureStats,E:\BoxxyViewer\indra\newview\llviewertexture.cpp,1728,0.15761,4165,0.037841536614645864,0.000971
LLDrawPoolAvatar::endShadowPass,E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp,339,0.156564,6144,0.025482421875,0.002171
getGeometryVolume - emissive,E:\BoxxyViewer\indra\newview\llface.cpp,2135,0.156064,1929,0.08090409538621048,0.029532
LLTrace::AccumulatorBuffer<class LLTrace::TimeBlockAccumulator>::~AccumulatorBuffer,E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h,79,0.154404,344,0.4488488372093023,0.006488
LLQueuedThread::updateQueue,E:\BoxxyViewer\indra\llcommon\llqueuedthread.cpp,157,0.150557,516,0.29177713178294573,0.001243
