name|src_file|src_line|total_ns|total_perc|counts|mean_ns|min_ns|max_ns|std_ns
LLParticlePartition::rebuildGeom|E:\BoxxyViewer\indra\newview\llvopartgroup.cpp|665|52078632|0.001938|3688|14121|32|249076|27766.186842
`anonymous-namespace'::ImplMap::has|E:\BoxxyViewer\indra\llcommon\llsd.cpp|502|514617|0.000019|9116|56|12|4390|98.651335
LLQueuedThread::completeRequest|E:\BoxxyViewer\indra\llcommon\llqueuedthread.cpp|390|109491|0.000004|49|2234|199|15944|2814.840482
LLPipeline::resetFrameStats|E:\BoxxyViewer\indra\newview\pipeline.cpp|2074|6631|0.000000|173|38|34|198|13.408822
LLPipeline::createObjects|E:\BoxxyViewer\indra\newview\pipeline.cpp|2012|26131|0.000001|173|151|91|268|38.773642
"media sort"|E:\BoxxyViewer\indra\newview\llviewermedia.cpp|686|128006|0.000005|172|744|565|1508|158.326777
LLTrace::AccumulatorBuffer<class LLTrace::SampleAccumulator>::reset|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h|132|5816941|0.000217|2752|2113|1900|62961|1718.032757
LLCore::HttpOpRequest::stageFromActive|E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp|219|69149|0.000003|42|1646|1051|2961|463.378710
ImageRequest::finishRequest|E:\BoxxyViewer\indra\llimage\llimageworker.cpp|221|49218|0.000002|18|2734|2020|4018|552.154071
LLTextureCache::updateEntry|E:\BoxxyViewer\indra\newview\lltexturecache.cpp|1278|1883933|0.000070|16|117745|83432|245842|48950.338398
LLVolume::unpackVolumeFaces|E:\BoxxyViewer\indra\llmath\llvolume.cpp|2382|7484840|0.000279|33|226813|25367|3359280|593348.934206
"lllog"|E:\BoxxyViewer\indra\llplugin\llpluginclassmedia.cpp|1126|1498|0.000000|60|24|6|250|48.323416
"lllog"|E:\BoxxyViewer\indra\newview\llvoavatar.cpp|12073|149|0.000000|2|74|36|113|54.451814
LLTrace::PeriodicRecording::getPeriodMin|E:\BoxxyViewer\indra\llcommon\lltracerecording.cpp|719|1890293|0.000070|6020|314|93|39089|594.239242
LLVertexBuffer::genBuffer|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|1099|8831977|0.000329|19648|449|72|87188|1337.453579
send_agent_update|E:\BoxxyViewer\indra\newview\llviewermessage.cpp|3221|752379|0.000028|172|4374|2052|58664|8569.454381
LLUICtrl::postBuild|E:\BoxxyViewer\indra\llui\lluictrl.cpp|478|2289|0.000000|3|763|30|1634|810.855721
LLSD::operator []|E:\BoxxyViewer\indra\llcommon\llsd.cpp|1197|47403|0.000002|2926|16|6|852|29.380807
LLMotionController::updateLoadingMotions|E:\BoxxyViewer\indra\llcharacter\llmotioncontroller.cpp|781|441361|0.000016|15538|28|5|11881|153.978354
LLVertexBuffer::destroyGLBuffer|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|1178|5983059|0.000223|20909|286|81|750031|5210.023037
LLViewerTexture::reorganizeVolumeList|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|1026|412305|0.000015|44982|9|6|3085|18.143035
LLRenderPass::pushBumpBatch|E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp|1009|335997|0.000013|560|599|184|2544|422.482278
FTM_PROCESS_MESSAGES|E:\BoxxyViewer\indra\llmessage\lltemplatemessagereader.cpp|539|27739563|0.001032|585|47418|1108|231728|37637.959749
LLAppViewer::idleNetwork|E:\BoxxyViewer\indra\newview\llappviewer.cpp|6046|36469266|0.001357|172|212030|17414|967905|251133.688007
LLViewerObjectList::updateActive|E:\BoxxyViewer\indra\newview\llviewerobjectlist.cpp|1500|89674|0.000003|1718|52|5|735|77.557058
LLTextureFetch::updateRequestPriority|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|2888|118617|0.000004|16|7413|221|66316|16362.129293
"lllog"|E:\BoxxyViewer\indra\newview\llvoavatar.cpp|7158|37366|0.000001|3474|10|6|599|18.519427
LLViewerTexture::updateClass|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|488|677259|0.000025|173|3914|2652|25381|3427.271724
LLPipeline::calcNearbyLights|E:\BoxxyViewer\indra\newview\pipeline.cpp|5637|42480678|0.001581|1039|40886|44|138594|36266.068269
LLDrawPoolAvatar::getModelView|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|146|1268973|0.000047|20418|62|5|1012|73.718173
"gi - message queue"|E:\BoxxyViewer\indra\llwindow\llwindowwin32.cpp|2326|7780|0.000000|110|70|38|696|71.584299
LLTrace::PeriodicRecording::getPeriodMinPerSec|E:\BoxxyViewer\indra\llcommon\lltracerecording.h|409|851596|0.000032|344|2475|265|38683|3059.201336
FTM_HUD_EFFECTS|E:\BoxxyViewer\indra\newview\llappviewer.cpp|5517|816906|0.000030|173|4722|3275|16315|1089.015450
LLDrawPoolAvatar::endShadowPass|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|339|342336|0.000013|6144|55|28|2232|59.699617
LLImageGL::updateStats|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|410|4122|0.000000|173|23|22|37|1.582976
LLViewerMedia::updateMedia|E:\BoxxyViewer\indra\newview\llviewermedia.cpp|642|6907862|0.000257|172|40161|24766|392179|52955.330054
LLTrace::AccumulatorBuffer<class LLTrace::EventAccumulator>::AccumulatorBuffer|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h|68|219624|0.000008|344|638|241|1748|187.255006
