name|src_file|src_line|total_ns|total_perc|counts|mean_ns|min_ns|max_ns|std_ns
"getGeometryVolume - color"|E:\BoxxyViewer\indra\newview\llface.cpp|2109|673299|0.000025|4718|142|16|50218|1250.964585
LLGLSLShader::uniform1f|E:\BoxxyViewer\indra\llrender\llglslshader.cpp|1849|83273033|0.003099|2944648|28|12|138289|165.508187
"df LLTrace"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1367|144163|0.000005|172|838|566|1648|34812.488190
LLThreadSafeQueue<struct tagMSG,class std::queue<struct tagMSG,class std::deque<struct tagMSG,class std::allocator<struct tagMSG> > > >::tryPop|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|477|16575|0.000001|282|58|20|841|23560.320746
LLPipeline::rebuildPools|E:\BoxxyViewer\indra\newview\pipeline.cpp|5129|1225622|0.000046|173|7084|5387|14645|4214.807359
"UI 2D"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|1540|7998094|0.000298|172|46500|37886|91221|2778866.375120
LLTrace::AccumulatorBufferGroup::sync|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.cpp|133|81123|0.000003|860|94|30|1098|404.888904
LLTrace::PeriodicRecording::getPeriodMaxPerSec|E:\BoxxyViewer\indra\llcommon\lltracerecording.h|482|115331|0.000004|344|335|93|1854|254.433006
LLCore::HttpOpRequest::writeCallback|E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp|795|1537966|0.000057|140|10985|1173|48021|11700.380725
LLImageGL::setImage|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|745|23697|0.000001|15|1579|184|4938|11340.666653
LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::tryLock|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|278|2004542|0.000075|1922|1042|76|122102|4741.930301
"deferred pool render"|E:\BoxxyViewer\indra\newview\pipeline.cpp|4155|5096676|0.000190|5082|1002|39|89274|220549.611026
LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::tryPush|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|360|4633|0.000000|16|289|18|1183|17892.654279
LLError::GenericRecorder<void (__cdecl*)(enum LLError::ELevel,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &)>::recordMessage|E:\BoxxyViewer\indra\llcommon\llerrorcontrol.h|191|3984|0.000000|44|90|11|438|84.546671
LLMeshCostData::init|E:\BoxxyViewer\indra\newview\llmeshrepository.cpp|5479|464909|0.000017|6441|72|12|901|82.585932
LLSD::operator []|E:\BoxxyViewer\indra\llcommon\llsd.cpp|1138|917539|0.000034|4906|187|23|2535|274.247205
LLTrace::AccumulatorBufferGroup::makeCurrent|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.cpp|69|111385|0.000004|344|323|101|1125|114.505287
LLGLTexture::setSubImage|E:\BoxxyViewer\indra\llrender\llgltexture.cpp|252|128|0.000000|1|128|128|128|0.000000
LLReflectionMapManager::updateNeighbors|E:\BoxxyViewer\indra\newview\llreflectionmapmanager.cpp|1056|3060|0.000000|29|105|27|191|2370.276385
LLTrace::BlockTimer::updateTimes|E:\BoxxyViewer\indra\llcommon\llfasttimer.cpp|266|62421|0.000002|688|90|14|750|101.227409
LLRenderPass::pushUntexturedGLTFBatches|E:\BoxxyViewer\indra\newview\lldrawpool.cpp|930|21864|0.000001|1024|21|6|611|31.114709
"tfwdw - INIT"|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|1104|34833|0.000001|19|1833|508|3442|975.210405
LLFolderView::filter|E:\BoxxyViewer\indra\llui\llfolderview.cpp|348|1465871|0.000055|521|2813|77|8302|2719.523410
LLDefaultVBOPool::clean|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|535|468255|0.000017|45|10405|6273|24534|111759.361261
LLTextureFetch::releaseHttpWaiters|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|3306|26400|0.000001|172|153|52|675|578.948058
FTM_GEO_UPDATE|E:\BoxxyViewer\indra\newview\pipeline.cpp|2917|3836404|0.000143|173|22175|2443|110003|289806.678420
"lllog"|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|1137|2143|0.000000|19|112|9|207|56.083767
"unmapBuffer - vertex"|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|1484|1710406|0.000064|7227|236|21|8633|10676.328137
"deferred"|E:\BoxxyViewer\indra\newview\pipeline.cpp|8635|1551719|0.000058|345|4497|1584|22738|128900.684363
"audio update"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|5619|4957610|0.000185|173|28656|9135|176320|40930.492949
LLQueuedThread::updateQueue|E:\BoxxyViewer\indra\llcommon\llqueuedthread.cpp|157|150557|0.000006|516|291|64|1243|4273.422993
LLSpatialPartition::put|E:\BoxxyViewer\indra\newview\llspatialpartition.cpp|930|1181182|0.000044|1355|871|55|11504|1907.987438
LLDrawable::makeActive|E:\BoxxyViewer\indra\newview\lldrawable.cpp|500|3915930|0.000146|95056|41|5|23268|108.155390
"rmmun - search"|E:\BoxxyViewer\indra\newview\llreflectionmapmanager.cpp|1079|30294|0.000001|24|1262|738|2145|314.335600
LLVolume::generate|E:\BoxxyViewer\indra\llmath\llvolume.cpp|2047|68649|0.000003|70|980|112|4309|7327.472760
LLDrawPoolMaterials::beginDeferredPass|E:\BoxxyViewer\indra\newview\lldrawpoolmaterials.cpp|55|345079|0.000013|13872|24|13|6380|2699.591752
LLTerrainMaterials::getMaterialType|E:\BoxxyViewer\indra\newview\llvlcomposition.cpp|212|96629|0.000004|202|478|163|1336|153.695360
LLBumpImageList::getBrightnessDarknessImage|E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp|753|13234|0.000000|132|100|20|1297|2116.170288
"glTexImage2D alloc"|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|1470|16401|0.000001|35|468|14|1308|471.040869
"lllog"|E:\BoxxyViewer\indra\newview\pipeline.cpp|11492|12928|0.000000|261|49|6|707|53.040804
LLTextureFetch::cmdDequeue|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|3503|18450|0.000001|172|107|44|550|301.132376
LLTextureCacheWorker::doWork|E:\BoxxyViewer\indra\newview\lltexturecache.cpp|709|10176|0.000000|35|290|98|910|887809.829637
LLLayoutStack::updateLayout|E:\BoxxyViewer\indra\llui\lllayoutstack.cpp|412|188434|0.000007|11180|16|5|7343|99.435591
LLPipeline::updateGL|E:\BoxxyViewer\indra\newview\pipeline.cpp|2797|62924|0.000002|173|363|44|1454|1767.262744
"display - 1"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|730|2410043|0.000090|172|14011|10876|31548|22428909.080336
"lllog"|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|1233|232|0.000000|2|116|115|117|1.414214
LL::GLTFSceneManager::render|E:\BoxxyViewer\indra\newview\gltfscenemanager.cpp|603|477192|0.000018|19688|24|6|869|49.742006
LLDrawPoolAvatar::endDeferredSkinned|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|653|28947|0.000001|607|47|21|828|129.355409
LLViewerParcelOverlay::updateGL|E:\BoxxyViewer\indra\newview\llviewerparceloverlay.cpp|633|61737|0.000002|77|801|611|1346|2244.702284
render_ui|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|1475|182688|0.000007|172|1062|742|11425|3127778.230368
LLImageGL::setSubImage|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|1225|497|0.000000|1|497|497|497|0.000000
LLImageGL::createPickMask|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|2389|537|0.000000|1|537|537|537|0.000000
"lllog"|E:\BoxxyViewer\indra\llaudio\llaudioengine.cpp|1680|724|0.000000|3|241|163|318|77.514515
Sleep2|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1533|309912|0.000012|172|1801|1367|6641|20714.355278
LLImageGL::setSubImage|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|1116|378|0.000000|1|378|378|378|0.000000
LLPipeline::createObject|E:\BoxxyViewer\indra\newview\pipeline.cpp|2036|37579|0.000001|41|916|581|2046|6944.477747
LLCore::HttpOpRequest::stageFromReady|E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp|211|12027|0.000000|43|279|27|1050|17467.271228
"getGeometryVolume - emissive"|E:\BoxxyViewer\indra\newview\llface.cpp|2135|156064|0.000006|1929|80|17|29532|844.979032
LLGLSLShader::uniform2fv|E:\BoxxyViewer\indra\llrender\llglslshader.cpp|1526|277884|0.000010|14262|19|6|1997|44.556449
LLGLDepthTest::~LLGLDepthTest|E:\BoxxyViewer\indra\llrender\llgl.cpp|2825|1384059|0.000052|39105|35|6|66201|339.050872
FTM_UPDATE_CAMERA|E:\BoxxyViewer\indra\newview\llagentcamera.cpp|1212|1087414|0.000040|173|6285|4607|16952|6552.535702
"vftuf - has raw image"|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|1956|2153|0.000000|14|153|20|433|1779.008540
LLStringUtilBase<char>::format|E:\BoxxyViewer\indra\llcommon\llstring.cpp|1667|16283|0.000001|47|346|149|1087|208.032345
"Update Geom"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|761|99354|0.000004|173|574|304|17303|311910.567933
LLMotionController::updateMotionsMinimal|E:\BoxxyViewer\indra\llcharacter\llmotioncontroller.cpp|936|4989175|0.000186|11154|447|121|65910|4889.931031
LLGLSLShader::uniform1i|E:\BoxxyViewer\indra\llrender\llglslshader.cpp|1778|47502619|0.001768|1898771|25|12|108111|178.581888
LLEnvironment::update|E:\BoxxyViewer\indra\newview\llenvironment.cpp|1641|797117|0.000030|345|2310|1605|3860|38193.262016
LLRenderPass::uploadMatrixPalette|E:\BoxxyViewer\indra\newview\lldrawpool.cpp|846|9667615|0.000360|330512|29|6|172182|531.108749
LLTextureCache::setHeaderCacheEntry|E:\BoxxyViewer\indra\newview\lltexturecache.cpp|1905|664|0.000000|2|332|176|488|328206.274823
LLDrawPoolBump::endFullbrightShiny|E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp|387|30513|0.000001|1850|16|6|222|14.015154
LLSpatialGroup::changeLOD|E:\BoxxyViewer\indra\newview\llspatialpartition.cpp|735|5978471|0.000223|376565|15|6|9970|50.095099
LLMeshLODHandler::processData|E:\BoxxyViewer\indra\newview\llmeshrepository.cpp|3982|1741|0.000000|3|580|433|749|1364.933149
FTM_CLEANUP_DRAWABLES|E:\BoxxyViewer\indra\newview\llappviewer.cpp|5498|45469|0.000002|173|262|98|819|105.638012
LLDrawPoolAvatar::beginPostDeferredPass|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|230|42850|0.000002|868|49|28|710|5129.594802
LLVOVolume::getCostData|E:\BoxxyViewer\indra\newview\llvovolume.cpp|4566|357265|0.000013|3490|102|14|1553|184.109885
"vftuf - make request"|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|2296|8174|0.000000|19|430|53|1113|10738.377428
LLParticlePartition::rebuildGeom|E:\BoxxyViewer\indra\newview\llvopartgroup.cpp|665|17138135|0.000638|3688|4646|32|103232|29338.764112
`anonymous-namespace'::ImplMap::has|E:\BoxxyViewer\indra\llcommon\llsd.cpp|502|514617|0.000019|9116|56|12|4390|98.651335
LLQueuedThread::completeRequest|E:\BoxxyViewer\indra\llcommon\llqueuedthread.cpp|390|97221|0.000004|49|1984|99|15174|2826.196992
LLPipeline::resetFrameStats|E:\BoxxyViewer\indra\newview\pipeline.cpp|2074|6631|0.000000|173|38|34|198|13.408822
LLPipeline::createObjects|E:\BoxxyViewer\indra\newview\pipeline.cpp|2012|26131|0.000001|173|151|91|268|38.773642
"media sort"|E:\BoxxyViewer\indra\newview\llviewermedia.cpp|686|128006|0.000005|172|744|565|1508|158.326777
LLTrace::AccumulatorBuffer<class LLTrace::SampleAccumulator>::reset|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h|132|5816941|0.000217|2752|2113|1900|62961|1718.032757
LLCore::HttpOpRequest::stageFromActive|E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp|219|69149|0.000003|42|1646|1051|2961|463.378710
ImageRequest::finishRequest|E:\BoxxyViewer\indra\llimage\llimageworker.cpp|221|7617|0.000000|18|423|185|957|2441.595067
LLTextureCache::updateEntry|E:\BoxxyViewer\indra\newview\lltexturecache.cpp|1278|1878153|0.000070|16|117384|83226|245334|48951.764668
LLVolume::unpackVolumeFaces|E:\BoxxyViewer\indra\llmath\llvolume.cpp|2382|1349039|0.000050|33|40879|5795|372619|622667.564431
"lllog"|E:\BoxxyViewer\indra\llplugin\llpluginclassmedia.cpp|1126|1498|0.000000|60|24|6|250|48.323416
"lllog"|E:\BoxxyViewer\indra\newview\llvoavatar.cpp|12073|149|0.000000|2|74|36|113|54.451814
LLTrace::PeriodicRecording::getPeriodMin|E:\BoxxyViewer\indra\llcommon\lltracerecording.cpp|719|1890293|0.000070|6020|314|93|39089|594.239242
LLVertexBuffer::genBuffer|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|1099|706722|0.000026|19648|35|11|39525|1400.217587
send_agent_update|E:\BoxxyViewer\indra\newview\llviewermessage.cpp|3221|739322|0.000028|172|4298|2052|55826|8569.796001
LLUICtrl::postBuild|E:\BoxxyViewer\indra\llui\lluictrl.cpp|478|2289|0.000000|3|763|30|1634|810.855721
LLSD::operator []|E:\BoxxyViewer\indra\llcommon\llsd.cpp|1197|47403|0.000002|2926|16|6|852|29.380807
LLMotionController::updateLoadingMotions|E:\BoxxyViewer\indra\llcharacter\llmotioncontroller.cpp|781|441361|0.000016|15538|28|5|11881|153.978354
LLVertexBuffer::destroyGLBuffer|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|1178|2024891|0.000075|20909|96|12|27705|5213.491905
LLViewerTexture::reorganizeVolumeList|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|1026|412305|0.000015|44982|9|6|3085|18.143035
LLRenderPass::pushBumpBatch|E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp|1009|162876|0.000006|560|290|120|1342|524.174466
FTM_PROCESS_MESSAGES|E:\BoxxyViewer\indra\llmessage\lltemplatemessagereader.cpp|539|8740065|0.000325|585|14940|1108|195225|49731.744067
LLAppViewer::idleNetwork|E:\BoxxyViewer\indra\newview\llappviewer.cpp|6046|139851|0.000005|172|813|547|2088|328545.133462
LLViewerObjectList::updateActive|E:\BoxxyViewer\indra\newview\llviewerobjectlist.cpp|1500|89674|0.000003|1718|52|5|735|77.557058
LLTextureFetch::updateRequestPriority|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|2888|2350|0.000000|16|146|20|428|18001.608363
"lllog"|E:\BoxxyViewer\indra\newview\llvoavatar.cpp|7158|37366|0.000001|3474|10|6|599|18.519427
LLViewerTexture::updateClass|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|488|420972|0.000016|173|2433|1795|3568|3735.594175
LLPipeline::calcNearbyLights|E:\BoxxyViewer\indra\newview\pipeline.cpp|5637|34159283|0.001271|1039|32877|44|128639|37140.752524
LLDrawPoolAvatar::getModelView|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|146|1268973|0.000047|20418|62|5|1012|73.718173
"gi - message queue"|E:\BoxxyViewer\indra\llwindow\llwindowwin32.cpp|2326|7780|0.000000|110|70|38|696|71.584299
LLTrace::PeriodicRecording::getPeriodMinPerSec|E:\BoxxyViewer\indra\llcommon\lltracerecording.h|409|851596|0.000032|344|2475|265|38683|3059.201336
FTM_HUD_EFFECTS|E:\BoxxyViewer\indra\newview\llappviewer.cpp|5517|816906|0.000030|173|4722|3275|16315|1089.015450
LLDrawPoolAvatar::endShadowPass|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|339|156564|0.000006|6144|25|12|2171|67.136598
